trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1064,False,"{'a': 0.6, 'e': 0.029411619480576034}",20,11,15.409984711782359,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1065,False,"{'a': 0.6, 'e': 0.02899884803505354}",35,18,31.23230712653325,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1066,False,"{'a': 0.6, 'e': 0.028590249919054345}",30,22,13.953380064838878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1067,False,"{'a': 0.6, 'e': 0.028185805895410133}",25,11,23.596522814732445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1068,False,"{'a': 0.6, 'e': 0.027785496544428988}",30,19,17.323286499015513,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1069,False,"{'a': 0.6, 'e': 0.027389302266607282}",25,8,22.630329298543888,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1070,False,"{'a': 0.6, 'e': 0.02699720328536624}",25,8,29.958303623708808,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1071,False,"{'a': 0.6, 'e': 0.026609179649815684}",25,14,11.595665906323955,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1072,False,"{'a': 0.6, 'e': 0.02622521123754143}",25,14,18.26936073010978,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1073,False,"{'a': 0.6, 'e': 0.025845277757418517}",20,6,25.68924964417211,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1074,False,"{'a': 0.6, 'e': 0.0254693587524472}",25,10,28.90588332924636,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1075,False,"{'a': 0.6, 'e': 0.025097433602613736}",20,8,13.874618186757239,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1076,False,"{'a': 0.6, 'e': 0.024729481527772487}",20,6,1.5283645004272608,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
1077,False,"{'a': 0.6, 'e': 0.024365481590551814}",20,4,25.9213958577647,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1078,False,"{'a': 0.6, 'e': 0.02400541269928032}",20,12,14.010304989278575,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1079,False,"{'a': 0.6, 'e': 0.02364925361093535}",20,6,19.884605846275065,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1080,False,"{'a': 0.6, 'e': 0.02329698293411079}",30,21,17.72583257359799,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1081,False,"{'a': 0.6, 'e': 0.022948579132006004}",20,7,21.819293679057676,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.6, 'e': 0.022604020525432648}",30,18,19.854783010174675,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.6, 'e': 0.022263285295841484}",30,12,35.73950486572691,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1084,False,"{'a': 0.6, 'e': 0.021926351488365848}",25,12,26.693585889493484,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1085,False,"{'a': 0.6, 'e': 0.021593197014883676}",25,8,29.042182489350342,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1086,False,"{'a': 0.6, 'e': 0.021263799657095076}",20,16,6.588232285361587,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1087,False,"{'a': 0.6, 'e': 0.020938137069617037}",25,7,31.662958756200172,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1088,False,"{'a': 0.6, 'e': 0.02061618678309247}",20,3,5.357724054054112,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1089,False,"{'a': 0.6, 'e': 0.02029792620731496}",30,20,22.614350366904155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1090,False,"{'a': 0.6, 'e': 0.01998333263436649}",25,6,31.160527859885317,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
