trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.43057540477663}",20,15,10.534541459802355,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.2521194079266237}",20,9,6.772068326482737,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.8162385236075683}",30,0,-153.3833133678098,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.9964679075571252}",20,0,-87.61359685334037,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.7, 'e': 0.7080428643420107}",20,0,-74.64413706026158,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
47,False,"{'a': 0.7, 'e': 0.08661419855190752}",25,0,-54.262491665684344,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
48,False,"{'a': 0.7, 'e': 0.5755504782013374}",20,0,-79.08483821284449,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.7, 'e': 0.9670247718322008}",20,0,-90.85525685249897,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.7, 'e': 0.9036922050915067}",20,7,-82.43620462114706,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 2}",1
51,False,"{'a': 0.7, 'e': 0.4153390737160634}",20,12,12.034683257613779,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.26835451388009673}",20,0,-54.80196525358881,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
53,False,"{'a': 0.7, 'e': 0.8258367804434961}",25,0,-179.3098136702092,"{0: 15, 1: 1, 2: 3, 3: 4, 4: 2}",0
54,False,"{'a': 0.7, 'e': 0.9949151051086736}",30,16,-46.82643927666785,"{0: 9, 1: 2, 2: 1, 3: 2, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.6960693098638897}",25,0,-141.65655306011988,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.7, 'e': 0.06985124180713438}",20,0,18.634078004058686,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.7, 'e': 0.5892189567272824}",30,12,-52.171313048829184,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.7, 'e': 0.9711702731126886}",20,0,-154.19323093678048,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.8963650350990852}",20,0,-173.8622860508601,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
60,False,"{'a': 0.7, 'e': 0.39998531498835127}",20,0,2.0244102872711913,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 0.2845137487043485}",20,0,-89.7679158328801,"{0: 14, 1: 2, 2: 0, 3: 3, 4: 1}",0
62,False,"{'a': 0.7, 'e': 0.8352015507314431}",20,10,-62.57739440075581,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.7, 'e': 0.9930810130653165}",20,0,-105.78275448019961,"{0: 7, 1: 5, 2: 7, 3: 1, 4: 0}",0
64,False,"{'a': 0.7, 'e': 0.6838989576357016}",20,0,-132.86866872950145,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
65,False,"{'a': 0.7, 'e': 0.05306853621402457}",30,6,35.79911970783237,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.6027208470078549}",20,0,-51.2746559571607,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.7, 'e': 0.975041198108924}",30,0,-252.3058831642565,"{0: 14, 1: 3, 2: 9, 3: 0, 4: 4}",0
68,False,"{'a': 0.7, 'e': 0.88878443830038}",20,0,-224.4069533119948,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 4}",0
69,False,"{'a': 0.7, 'e': 0.3845184695192305}",25,0,-23.743147913256287,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.7, 'e': 0.3005925437436371}",20,0,-38.290814578714254,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.7, 'e': 0.844330186795809}",25,0,-77.54988371955085,"{0: 12, 1: 7, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.7, 'e': 0.990966149974821}",20,0,-85.71122038492199,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
73,False,"{'a': 0.7, 'e': 0.6715352485474537}",35,13,-11.308970265117514,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.036270826700509684}",20,16,7.628561432237763,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.616052331690985}",35,0,-99.21820156209289,"{0: 26, 1: 2, 2: 4, 3: 2, 4: 1}",0
76,False,"{'a': 0.7, 'e': 0.9786364524049901}",30,0,-168.39615329801006,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
77,False,"{'a': 0.7, 'e': 0.8809525579365467}",20,0,-106.10326025803863,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
78,False,"{'a': 0.7, 'e': 0.36894291020712}",30,16,-127.58221169955218,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 3}",1
79,False,"{'a': 0.7, 'e': 0.31658635308471483}",20,3,1.2710633352061436,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.7, 'e': 0.853220107722584}",20,0,-227.86110403206635,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 5}",0
81,False,"{'a': 0.7, 'e': 0.9885711137665792}",25,0,-120.84361083470955,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.6589816781564026}",25,16,-4.505971642799995,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.019462862436516987}",20,16,4.518638446527885,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.6292096416028825}",35,1,-126.09291296024114,"{0: 27, 1: 0, 2: 2, 3: 3, 4: 2}",1
85,False,"{'a': 0.7, 'e': 0.9819550195245887}",30,0,-165.90198992829775,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
86,False,"{'a': 0.7, 'e': 0.8728716082934574}",20,0,-33.29835549493203,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
87,False,"{'a': 0.7, 'e': 0.3532630406868024}",25,2,-52.857963660686266,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.33249065484212564}",30,0,10.930986420776604,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.7, 'e': 0.8618688000890143}",20,1,-113.53494081702051,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 2}",1
90,False,"{'a': 0.7, 'e': 0.9858965815825509}",25,4,-217.88278098986913,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 4}",1
91,False,"{'a': 0.7, 'e': 0.6462417956987823}",20,11,-13.722647139460712,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.0026493954912780553}",30,10,26.975906127039714,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.6421890568137261}",20,2,11.103066627418425,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.9849959612184215}",20,11,-18.673731386359126,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
